[asn.txt]                                        2017-02-24 02:05:05Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates
on this information please contact the ARIN Registration Services Hostmaster
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 186                     CUA-AS                                             DPF7-ARIN (Tech), DPF7-ARIN (Admin), DPF7-ARIN (Abuse), ECM6-ARIN (Tech)
 187                     DNSCAST-AS                                         BW1324-ARIN (Tech), BW1324-ARIN (Abuse), BW1324-ARIN (Admin)
 188                     SAIC-AS                                            ICS6-ARIN (Admin), ICS6-ARIN (Abuse), SAIC-NIC-ARIN (NOC), ICS6-ARIN (Tech)
 189                     LVLT-189                                           APL8-ARIN (Abuse), NOCSU27-ARIN (NOC), APL7-ARIN (Admin), IPADD5-ARIN (Tech)
 190                     DNIC-AS-00190                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 191                     DNIC-AS-00191                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 192                     ROCHINSTTECH                                       NETWO57-ARIN (NOC), NETWO58-ARIN (Tech), ABUSE87-ARIN (Abuse), NETWO58-ARIN (Admin)
 193                     FORD-ASN                                           CKN23-ARIN (Tech), CKN23-ARIN (Admin), LMN-ORG-ARIN (Abuse), LMN-ORG-ARIN (Tech)
 194                     NCAR-AS                                            PS24-ARIN (Admin), PS24-ARIN (Abuse), ZN10-ARIN (NOC), PS24-ARIN (Tech)
 195                     SDSC-AS                                            SDSCN-ARIN (NOC), DJR30-ARIN (Tech), SDSCH-ARIN (Abuse), HERMA36-ARIN (Tech), TH60-ARIN (Tech), TH60-ARIN (NOC), TH60-ARIN (Admin)
 196                     BOEING196                                          NEO-ARIN (Tech), NACHE-ARIN (Tech), EK18-ARIN (Admin), AIR4-ARIN (Abuse), HUNTE182-ARIN (Tech), EK18-ARIN (NOC), SHUEY4-ARIN (Tech)
 197                     RAYTHEON-AS-2                                      ZR46-ARIN (Tech), ZR46-ARIN (Abuse), ZR46-ARIN (Admin)
 198                     DNIC-AS-00198                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 199-203                 LVLT-199-203                                       APL8-ARIN (Abuse), NOCSU27-ARIN (NOC), APL7-ARIN (Admin), IPADD5-ARIN (Tech)
 204                     PSCNET-AS                                          PN-ORG-ARIN (Abuse), SC274-ARIN (Abuse), SC274-ARIN (Tech), ML1385-ARIN (Admin), PN-ORG-ARIN (Tech)
 205                     MONTCLAIR-AS                                       MG564-ARIN (Admin), MG564-ARIN (Tech), MG564-ARIN (Abuse)
 206                     CSC-IGN-AMER                                       NELSO24-ARIN (Tech), BUCKM3-ARIN (Tech), NKS2-ARIN (Tech), LEH1-ARIN (Tech), ABDUL17-ARIN (Tech), ABDUL17-ARIN (Admin), ABUSE1164-ARIN (Abuse), GFB1-ARIN (Tech)
 207                     CLI-GW-AS                                          WAH11-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), WAH11-ARIN (Tech)
 208                     DNIC-AS-00208                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 209                     CENTURYLINK-US-LEGACY-QWEST                        CAD54-ARIN (Abuse), QIA-ARIN (Admin), QIA-ARIN (Tech)
 210                     WEST-NET-WEST                                      NOC2010-ARIN (Tech), NOC2010-ARIN (Admin), SECUR18-ARIN (Abuse), NOC2010-ARIN (NOC), MC2185-ARIN (Tech)
 211                     RADC-LONS-GW-AS                                    CKN23-ARIN (Admin), CKN23-ARIN (Tech), CKN23-ARIN (Abuse), SWR3-ARIN (Tech)
 212                     HQAFSC-LONS-GW-AS                                  SWR3-ARIN (Tech), SWR3-ARIN (Admin), SWR3-ARIN (Abuse)
 213                     DNIC-AS-00213                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 214                     DNIC-AS-00214                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 215                     DNIC-AS-00215                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 216                     LMSC-HOSTNET-AS                                    REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 217                     UMN-SYSTEM                                         UOSA-ARIN (Abuse), NTA-ORG-ARIN (Admin), NTA-ORG-ARIN (NOC), NTA-ORG-ARIN (Tech), TP63-ARIN (Tech)
 218                     AFOTECPCNET-AS                                     REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 219                     DNIC-AS-00219                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 220                     OOALC-HOSTNET-AS                                   REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 221                     WRALC-HOSTNET-AS                                   REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 222                     SMALC-HOSTNET-AS                                   REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 223                     AS223                                              HO35-ORG-ARIN (Admin), HO35-ORG-ARIN (Abuse), HO35-ORG-ARIN (Tech)
 224                     RIPE-ASNBLOCK-224                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 225                     VIRGINIA-AS                                        ABUSE124-ARIN (Abuse), ITS31-ARIN (Tech), ITS31-ARIN (NOC), ITS31-ARIN (Admin), ITS31-ARIN (Abuse)
 226                     LOS-NETTOS-AS                                      LH-ORG-ARIN (Tech), LNAT-ARIN (Abuse), CAN11-ARIN (Admin), LNN1-ARIN (NOC), WP8-ARIN (Tech)
 227                     DNIC-AS-00227                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 228                     DNIC-AS-00228                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 229                     MERIT-AS-6                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 230                     MERIT-AS-7                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 231                     MERIT-AS-8                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 232                     MERIT-AS-9                                         MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 233                     MERIT-AS-10                                        MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 234                     BLACKROSE-1                                        DK109-ARIN (Admin), DK109-ARIN (Abuse), DK109-ARIN (Tech)
 235                     MERIT-AS-12                                        MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 236                     MERIT-AS-13                                        MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 237                     MERIT-AS-14                                        MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 238                     MERIT-AS-15                                        MERIT-ARIN (Tech), NETWO26-ARIN (Abuse), IN-ORG-ARIN (Admin)
 239                     UTORONTO-AS                                        NSTEC-ARIN (Tech), NDG5-ARIN (Admin), RS2206-ARIN (Abuse), DCA264-ARIN (Tech), RS2206-ARIN (Tech), NSTEC-ARIN (Abuse)
 240                     SAALC-HOSTNET-AS                                   REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 241                     OCALC-HOSTNET-AS                                   REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 242                     SSSD-AS                                            RGH21-ARIN (Abuse), RGH21-ARIN (Tech), RGH21-ARIN (Admin)
 243                     HARRIS-ATD-AS                                      ZH41-ARIN (Admin), ZH41-ARIN (Abuse), ZH41-ARIN (Tech)
 244                     DNIC-AS-00244                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 245                     PRC-AS                                             NETAD211-ARIN (Tech), NETAD211-ARIN (Abuse), NETAD211-ARIN (Admin)
 246                     ASIFICS-GW-AS                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 247                     ROMENET-AS                                         CKN23-ARIN (Admin), CKN23-ARIN (Tech), CKN23-ARIN (Abuse), PV23-ARIN (Tech)
 248-251                 RIPE-ASNBLOCK-248                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 252                     DNIC-AS-00252                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 253                     NTTA-253                                           VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 254                     TWG-NET-AS                                         CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin), DP221-ARIN (Tech)
 255                     PAFB-GW                                            REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 256                     DNIC-AS-00256                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 257                     DNIC-AS-00257                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 258                     BRAGGSRI-EGP-AS                                    REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 259                     SCUBED-AS                                          SS135-ARIN (Admin), SS135-ARIN (Tech), SS135-ARIN (Abuse)
 260                     XCONNECT24                                         XCONN1-ARIN (Abuse), XCONN1-ARIN (Tech), XCONN1-ARIN (NOC), BEVAA-ARIN (Admin)
 261                     RIPE-ASNBLOCK-261                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 262                     VERIO                                              VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC)
 263                     NTTA-263                                           VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 264                     SRINET-AS                                          LS732-ARIN (Tech), HWB1-ARIN (Tech), LS732-ARIN (Admin), HWB1-ARIN (Abuse), LS732-ARIN (Abuse)
 265                     DSI-WR-16                                          RPD2-ARIN (Admin), RPD2-ARIN (Abuse), RPD2-ARIN (Tech)
 266                     DHC-USA-INC                                        IND1-ARIN (Admin), IND1-ARIN (Tech), IND1-ARIN (Abuse), IND1-ARIN (NOC)
 267                     NETHER-NET                                         JM568-ARIN (Abuse), JM568-ARIN (Tech), JM568-ARIN (Admin)
 268                     USUHSNET-AS                                        MK124-ARIN (Admin), MK124-ARIN (Abuse), MK124-ARIN (Tech)
 269                     INCSYS-AS                                          JS281-ARIN (Tech), JS281-ARIN (Admin), JS281-ARIN (Abuse)
 270                     AS270                                              IPAMO-ARIN (Tech), CST57-ARIN (Admin), RFBJ-ARIN (Tech), NISN-ARIN (NOC), NASAA-ARIN (Abuse)
 271                     BCNET-AS                                           HOSTM458-ARIN (Admin), MH1019-ARIN (Tech), DM354-ARIN (Tech), HOSTM458-ARIN (Abuse)
 272                     CTNOSC-ASN-272                                     REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 273                     DNIC-AS-00273                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 274                     AINET-AS274                                        NETWO142-ARIN (Abuse), NETWO142-ARIN (Tech), AI-ORG-ARIN (Admin), AI-ORG-ARIN (Tech), NETWO142-ARIN (NOC)
 275                     NTTA-275                                           VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 276                     OTS-AS-276                                         NAC25-ARIN (Admin), ABUSE3227-ARIN (Abuse), ZU82-ARIN (Tech)
 277                     CSC-300-AS277                                      BUCKM3-ARIN (Tech), GFB1-ARIN (Tech), ABDUL17-ARIN (Admin), KETTL-ARIN (Tech), KETTL-ARIN (Abuse), ABDUL17-ARIN (Tech)
 278                     LACNIC-278                                         LACNIC-ARIN (Tech), LACNIC-ARIN (Admin), LACNIC-ARIN (Abuse)
 279                     LVLT-279                                           APL8-ARIN (Abuse), NOCSU27-ARIN (NOC), APL7-ARIN (Admin), IPADD5-ARIN (Tech)
 280                     NTTA-280                                           VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 281                     LVLT-281                                           APL8-ARIN (Abuse), NOCSU27-ARIN (NOC), APL7-ARIN (Admin), IPADD5-ARIN (Tech)
 282                     MERIT-AUX-AS                                       CKN23-ARIN (Tech), CKN23-ARIN (Admin), CKN23-ARIN (Abuse)
 283                     MPOWERLABS                                         JMC421-ARIN (Tech), JMC421-ARIN (Abuse), JMC421-ARIN (Admin)
 284                     UUNET-IPV6                                         VIS1-ARIN (Admin), SWIPP-ARIN (Tech), OA12-ARIN (NOC), SWIPP9-ARIN (Tech), ABUSE3-ARIN (Abuse)
 285                     DNIC-AS-00285                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 286                     RIPE-ASNBLOCK-286                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 287                     DNIC-AS-00287                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 288                     RIPE-ASNBLOCK-288                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 289                     DNIC-AS-00289                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 290                     SHOWNET-AS                                         GEV-ARIN (Abuse), MOHAM7-ARIN (Tech), GEV-ARIN (Tech), GEV-ARIN (Admin), AJH28-ARIN (Tech), BNR-ARIN (Tech), BNR-ARIN (Abuse), AJH28-ARIN (Abuse), MOHAM7-ARIN (Abuse), GHO4-ARIN (Tech)
 291                     ESNET-EAST                                         EH1-ARIN (Tech), EH1-ARIN (Admin), EH1-ARIN (Abuse)
 292                     ESNET-WEST                                         EH1-ARIN (Tech), EH1-ARIN (Admin), EH1-ARIN (Abuse)
 293                     ESNET                                              EH1-ARIN (Tech), EH1-ARIN (Admin), EH1-ARIN (Abuse)
 294                     RIPE-ASNBLOCK-294                                  RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 295                     DNIC-RAS-00295                                     REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 296                     ACFP-AS                                            REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 297                     AS297                                              IPAMO-ARIN (Tech), CST57-ARIN (Admin), RFBJ-ARIN (Tech), NISN-ARIN (NOC), NASAA-ARIN (Abuse)
 298                     RADC-LONEX-AS                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 299                     UCINET-AS                                          NSP5-ARIN (Tech), ABUSE2234-ARIN (Abuse), NSP5-ARIN (Admin)
 300                     DNIC-AS-00300                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 301                     C3PO-AS                                            REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 302                     BCM-INFO-NET-AS                                    APC8-ARIN (Abuse), EARLY-ARIN (Admin), SM346-ARIN (Tech), EARLY-ARIN (Tech)
 303                     DNIC-AS-00303                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 304                     SRIEXPRIGNET-AS                                    LS732-ARIN (Tech), HWB1-ARIN (Tech), LS732-ARIN (Admin), HWB1-ARIN (Abuse), LS732-ARIN (Abuse)
